episode,success,steps,return
1,False,50000,82.50721315060632
2,False,50000,73.03907647444183
3,False,50000,114.68029289705551
4,False,50000,75.48383140232339
5,False,50000,80.78726779250576
6,False,50000,70.43981298465737
7,False,50000,70.85112792221183
8,False,50000,69.27845252014582
9,False,50000,133.59957460288553
10,False,50000,75.89760101010101
11,False,50000,87.88764542098913
12,False,50000,73.24229163817343
13,False,50000,67.73086419753088
14,False,50000,67.57332777516608
15,False,50000,66.25979962192817
16,False,50000,115.16573022831248
17,False,50000,75.33089651219022
18,False,50000,116.91535007706656
19,False,50000,70.02822547391311
20,False,50000,82.63233229564375
21,False,50000,67.69928631886735
22,False,50000,74.63295203521707
23,False,50000,70.79318181818182
24,False,50000,79.9535876332055
25,False,50000,76.15823699091138
26,False,50000,79.45143222162453
27,False,50000,78.50626296787844
28,False,50000,74.39471393000365
29,False,50000,68.90692747629173
30,False,50000,107.03601010020455
31,False,50000,75.83952722109302
32,False,50000,79.3576209505551
33,False,50000,69.5129720535049
34,False,50000,79.04024589327621
35,False,50000,64.64569943289226
36,False,50000,107.50971074380165
37,False,50000,63.156532308214146
38,False,50000,75.38044835210947
39,False,50000,71.28468626657637
40,False,50000,65.88643642276638
41,False,50000,75.63725784752788
42,False,50000,76.62701523598386
43,False,50000,43.53618067725705
44,False,50000,71.07845252014583
45,False,50000,0.35000000000000003
46,False,50000,74.77989090335316
47,False,50000,122.70055150893361
48,False,50000,69.21732746653602
49,False,50000,113.03893995614776
50,False,50000,117.70823699091137
51,False,50000,71.21829685675695
52,False,50000,113.85615987410924
53,False,50000,84.56490777856288
54,False,50000,71.4774872212955
55,False,50000,72.71212776415648
56,False,50000,65.75618776782261
57,False,50000,65.38418273645546
58,False,50000,74.0840382331052
59,False,50000,111.11313794321357
60,False,50000,115.00226628247874
61,False,50000,74.39715909090908
62,False,50000,68.87730006493119
63,False,50000,70.30248959470987
64,False,50000,79.96670405643309
65,False,50000,153.61533226159224
66,False,50000,80.57213572256498
67,False,50000,73.75568575752142
68,False,50000,67.98563510486066
69,False,50000,72.94958631642542
70,False,50000,77.3116770515809
71,False,50000,74.20570093494926
72,False,50000,140.1029920864125
73,False,50000,75.75336876991194
74,False,50000,78.87582826572512
75,False,50000,149.29948836128906
76,False,50000,68.90333033702095
77,False,50000,74.51850321395776
78,False,50000,60.4457478828691
79,False,50000,86.7662590887206
80,False,50000,72.05476650458543
81,False,50000,95.75423226013116
82,False,50000,76.24650032087995
83,False,50000,105.21878384251697
84,False,50000,67.11114339662802
85,False,50000,71.37617720516879
86,False,50000,67.95207132021784
87,False,50000,81.40766420298189
88,False,50000,71.85959595959596
89,False,50000,87.24541665137065
90,False,50000,70.11685828297573
91,False,50000,72.58542840775608
92,False,50000,77.11505142293113
93,False,50000,2.0500000000000003
94,False,50000,78.05048196917147
95,False,50000,80.12916394676921
96,False,50000,74.80394272290371
97,False,50000,70.88762683420265
98,False,50000,65.38228305785124
99,False,50000,70.68446406904606
100,False,50000,75.77500000271917
101,False,50000,89.29670967340955
102,False,50000,71.52493646116898
103,False,50000,73.89046453263434
104,False,50000,68.75482996675392
105,False,50000,74.99788797061525
106,False,50000,73.24628850272713
107,False,50000,2.8500000000000005
108,False,50000,2.7500000000000004
109,False,50000,69.47222411404191
110,False,50000,64.1
111,False,50000,86.53484881848959
112,False,50000,80.52131402634504
113,False,50000,81.8440457028743
114,False,50000,79.15743886552453
115,False,50000,85.83937256540634
116,False,50000,112.68457397580775
117,False,50000,73.34661351821293
118,False,50000,121.69621554107945
119,False,50000,3.5500000000000003
120,False,50000,92.12873856912319
121,False,50000,74.02860575593198
122,False,50000,71.21689178361302
123,False,50000,72.29489280684739
124,False,50000,63.86731964856943
125,False,50000,106.02631998288959
126,False,50000,70.25213369575258
127,False,50000,67.33333907254362
128,False,50000,2.7500000000000004
129,False,50000,76.8775727962791
130,False,50000,79.22371638841693
131,False,50000,72.09889026086579
132,False,50000,79.63110299036704
133,False,50000,66.10342100555101
134,False,50000,76.87825928441391
135,False,50000,67.4251254703174
136,False,50000,70.00645990247477
137,False,50000,73.65485350795204
138,False,50000,67.5709426441202
139,False,50000,110.53951964145053
140,False,50000,69.28550924240307
141,False,50000,79.63764266366131
142,False,50000,61.71558171745153
143,False,50000,133.0569830806702
144,False,50000,89.14056942611799
145,False,50000,108.94564056513629
146,False,50000,84.44511539137065
147,False,50000,71.53472055403168
148,False,50000,72.12004930303597
149,False,50000,92.57357925944197
150,False,50000,67.91564263893024
151,False,50000,67.77808589526248
152,False,50000,65.20589990817264
153,False,50000,71.77166273411903
154,False,50000,70.73079440455777
155,False,50000,2.0500000000000003
156,False,50000,73.24936627534515
157,False,50000,64.39823232323234
158,False,50000,110.9472325121594
159,False,50000,76.9468027871097
160,False,50000,79.80578585784882
161,False,50000,80.41596905182934
162,False,50000,73.01319508213447
163,False,50000,113.41585544980744
164,False,50000,76.80737946273669
165,False,50000,73.95437136916323
166,False,50000,86.70335228998441
167,False,50000,67.2674103156979
168,False,50000,81.71217454436943
169,False,50000,86.74836174474606
170,False,50000,69.1647712307523
171,False,50000,76.42774058768832
172,False,50000,76.64344008264463
173,False,50000,74.8094773239194
174,False,50000,76.2052965703898
175,False,50000,80.91266119806284
176,False,50000,76.60976239669421
177,False,50000,75.21853327834702
178,False,50000,91.08373026148811
179,False,50000,67.75472256265213
180,False,50000,69.02293352238706
181,False,50000,75.92198958957722
182,False,50000,2.6500000000000004
183,False,50000,69.13197134062519
184,False,50000,83.4651926616436
185,False,50000,67.90778141619177
186,False,50000,141.92389172978278
187,False,50000,73.36474572590637
188,False,50000,69.3659090909091
189,False,50000,76.02181662618102
190,False,50000,119.59931756934478
191,False,50000,69.56245009262973
192,False,50000,72.48512848359877
193,False,50000,120.30206828913123
194,False,50000,72.70950277383844
195,False,50000,68.88400234885151
196,False,50000,136.45992865221137
197,False,50000,82.78949014757582
198,False,50000,71.16563257307769
199,False,50000,77.26841522589727
200,False,50000,76.66370422885295
201,False,50000,68.54918184368941
202,False,50000,67.18926005299932
203,False,50000,99.07879989136202
204,False,50000,66.4
205,False,50000,79.05893221027289
206,False,50000,73.2990889282046
207,False,50000,69.75777237663284
208,False,50000,66.51975308641975
209,False,50000,156.03720979597603
210,False,50000,84.96477745549727
211,False,50000,64.91170360110803
212,False,50000,72.73025112207014
213,False,50000,73.2522092736878
214,False,50000,73.20431089603899
215,False,50000,71.80857312454067
216,False,50000,69.7627447499552
217,False,50000,72.12910465794056
218,False,50000,73.05479813573595
219,False,50000,127.65790748695034
220,False,50000,127.12465030562427
221,False,50000,75.70803942737248
222,False,50000,129.1652816751286
223,False,50000,115.661426094198
224,False,50000,74.09997839449647
225,False,50000,71.18028337968306
226,False,50000,131.151576097846
227,False,50000,65.59639669421487
