actor/actor_loss,actor/adv,actor/adv_median,actor/bc_log_probs,actor/mse,high_actor/high_actor_loss,high_actor/high_adv,high_actor/high_adv_median,high_actor/high_bc_log_probs,high_actor/high_mse,high_actor/high_scale,value/abs adv mean,value/accept prob,value/adv max,value/adv mean,value/adv min,value/v max,value/v mean,value/v min,value/value_loss,step
2.1698451042175293,0.0006761513650417328,0.010486133396625519,-1.9519577026367188,7.6875,18.302490234375,-0.040664754807949066,-0.03623826801776886,-14.316232681274414,1.0253695249557495,1.0,1.3547253608703613,0.12109375,1.4373557567596436,-1.2314190864562988,-3.866132974624634,3.251955032348633,0.3864005208015442,-2.6928517818450928,0.892866849899292,1
1.5995466709136963,0.004806601908057928,0.0007079839706420898,-1.5875458717346191,2.73046875,9.067960739135742,-0.00197433540597558,0.0003827810287475586,-9.05691146850586,0.02606058120727539,0.9733914732933044,2.002753257751465,0.27734375,3.0699968338012695,-0.4016161561012268,-1.936933994293213,-1.6663447618484497,-1.8125874996185303,-2.549800395965576,3.1998448371887207,100
1.84248685836792,6.378348916769028e-05,0.0002918243408203125,-1.8421440124511719,4.1328125,8.767475128173828,-0.0006576953455805779,-0.0016264915466308594,-8.770187377929688,0.027157818898558617,0.9445595741271973,1.715381145477295,0.1875,2.7764575481414795,-0.7432191967964172,-1.9410896301269531,-1.9202173948287964,-2.0324573516845703,-2.7063992023468018,2.232320547103882,200
1.8307273387908936,0.002598019316792488,0.00022518634796142578,-1.8264367580413818,4.1484375,14.74759578704834,0.004479493014514446,0.0010460615158081055,-14.641212463378906,1.0701802968978882,0.9204232096672058,1.627110481262207,0.20703125,2.475142240524292,-0.6242988109588623,-1.604992151260376,-1.617619514465332,-1.7818471193313599,-1.8776882886886597,2.13909912109375,300
1.2622584104537964,1.2210570275783539e-05,6.794929504394531e-06,-1.2551543712615967,2.21875,10.752817153930664,0.0017036143690347672,-0.00024259090423583984,-10.728286743164062,0.4299538731575012,0.9033268094062805,1.5413768291473389,0.1953125,2.5907771587371826,-0.6405827403068542,-2.2889509201049805,0.01552406046539545,-1.995385766029358,-2.4069769382476807,1.8864960670471191,400
1.7807537317276,-0.0013407813385128975,2.09808349609375e-05,-1.7821173667907715,3.5703125,10.314533233642578,-0.0007918183691799641,-0.0012584328651428223,-10.303868293762207,0.39536336064338684,0.886280357837677,1.4307925701141357,0.1640625,2.2461657524108887,-0.7107257843017578,-1.3662662506103516,-1.6134822368621826,-1.7241394519805908,-1.882857084274292,1.6565065383911133,500
1.830155372619629,0.00017610378563404083,-0.00043773651123046875,-1.8289775848388672,5.61328125,9.812908172607422,-0.012059940956532955,0.0009306073188781738,-9.960286140441895,0.37297695875167847,0.8685768246650696,1.3790643215179443,0.17578125,2.171407461166382,-0.639997124671936,-1.3059935569763184,-1.3105194568634033,-1.512042760848999,-1.9198840856552124,1.658660650253296,600
1.689687728881836,-0.005486809182912111,0.0,-1.6954870223999023,3.61328125,8.247945785522461,-0.0043849037028849125,0.000717461109161377,-8.339407920837402,0.13490144908428192,0.8510410189628601,1.3676949739456177,0.21484375,2.09645414352417,-0.49629536271095276,-1.3160977363586426,-1.4454621076583862,-1.7979753017425537,-2.1705703735351562,1.6793320178985596,700
1.7445173263549805,-0.006989866029471159,0.0002117156982421875,-1.7582416534423828,4.39453125,9.021088600158691,-0.000759356189519167,-0.004863321781158447,-8.99232006072998,0.2803456783294678,0.8327832221984863,1.2940834760665894,0.171875,2.029686212539673,-0.6232028007507324,-1.8346447944641113,-0.7120465040206909,-1.5482518672943115,-2.2614569664001465,1.4663196802139282,800
1.7937052249908447,0.015131108462810516,0.00020551681518554688,-1.6743474006652832,4.17578125,9.280353546142578,-0.0026103374548256397,0.004589498043060303,-9.24854850769043,0.33636385202407837,0.8153430819511414,1.2796382904052734,0.203125,1.9700102806091309,-0.5068169236183167,-1.5560674667358398,1.8657015562057495,-1.646803379058838,-2.2274844646453857,1.4870803356170654,900
