saved offline_trajectories/trajectory_seed_062.npz | steps=12402 | badges=[0 0 0 0 0 0 0 1]
saved offline_trajectories/trajectory_seed_063.npz | steps=22290 | badges=[0 0 0 0 0 0 0 1]
saved offline_trajectories/trajectory_seed_064.npz | steps=50000 | badges=[0 0 0 0 0 0 0 0]
saved offline_trajectories/trajectory_seed_065.npz | steps=50000 | badges=[0 0 0 0 0 0 0 0]
saved offline_trajectories/trajectory_seed_066.npz | steps=50000 | badges=[0 0 0 0 0 0 0 0]
saved offline_trajectories/trajectory_seed_067.npz | steps=28622 | badges=[0 0 0 0 0 0 0 1]
saved offline_trajectories/trajectory_seed_068.npz | steps=13503 | badges=[0 0 0 0 0 0 0 1]
saved offline_trajectories/trajectory_seed_069.npz | steps=15610 | badges=[0 0 0 0 0 0 0 1]
saved offline_trajectories/trajectory_seed_070.npz | steps=25552 | badges=[0 0 0 0 0 0 0 1]
saved offline_trajectories/trajectory_seed_071.npz | steps=50000 | badges=[0 0 0 0 0 0 0 0]
saved offline_trajectories/trajectory_seed_072.npz | steps=49838 | badges=[0 0 0 0 0 0 0 1]
saved offline_trajectories/trajectory_seed_073.npz | steps=13593 | badges=[0 0 0 0 0 0 0 1]
saved offline_trajectories/trajectory_seed_074.npz | steps=50000 | badges=[0 0 0 0 0 0 0 0]
saved offline_trajectories/trajectory_seed_075.npz | steps=50000 | badges=[0 0 0 0 0 0 0 0]
saved offline_trajectories/trajectory_seed_076.npz | steps=50000 | badges=[0 0 0 0 0 0 0 0]
saved offline_trajectories/trajectory_seed_077.npz | steps=17694 | badges=[0 0 0 0 0 0 0 1]
saved offline_trajectories/trajectory_seed_078.npz | steps=9517 | badges=[0 0 0 0 0 0 0 1]
saved offline_trajectories/trajectory_seed_079.npz | steps=21747 | badges=[0 0 0 0 0 0 0 1]
saved offline_trajectories/trajectory_seed_080.npz | steps=50000 | badges=[0 0 0 0 0 0 0 0]
saved offline_trajectories/trajectory_seed_081.npz | steps=50000 | badges=[0 0 0 0 0 0 0 0]
saved offline_trajectories/trajectory_seed_082.npz | steps=9948 | badges=[0 0 0 0 0 0 0 1]
saved offline_trajectories/trajectory_seed_083.npz | steps=50000 | badges=[0 0 0 0 0 0 0 0]
saved offline_trajectories/trajectory_seed_084.npz | steps=12946 | badges=[0 0 0 0 0 0 0 1]
saved offline_trajectories/trajectory_seed_085.npz | steps=15014 | badges=[0 0 0 0 0 0 0 1]
saved offline_trajectories/trajectory_seed_086.npz | steps=50000 | badges=[0 0 0 0 0 0 0 0]
saved offline_trajectories/trajectory_seed_087.npz | steps=50000 | badges=[0 0 0 0 0 0 0 0]
saved offline_trajectories/trajectory_seed_088.npz | steps=11270 | badges=[0 0 0 0 0 0 0 1]
saved offline_trajectories/trajectory_seed_089.npz | steps=50000 | badges=[0 0 0 0 0 0 0 0]
