python main.py --model cql
WARNING: Failed to find CUDA.
step 002750 | loss 1.6948 | bellman 0.0763 | cql 1.6184 | q 0.5453 | target_q 0.5716 | device cuda
step 002800 | loss 1.5511 | bellman 0.0869 | cql 1.4642 | q 0.5970 | target_q 0.5253 | device cuda
step 002850 | loss 1.5063 | bellman 0.0653 | cql 1.4410 | q 0.5703 | target_q 0.6229 | device cuda
step 002900 | loss 1.6222 | bellman 0.0375 | cql 1.5847 | q 0.5983 | target_q 0.5638 | device cuda
step 002950 | loss 1.7736 | bellman 0.0419 | cql 1.7317 | q 0.4654 | target_q 0.4923 | device cuda
step 003000 | loss 1.8903 | bellman 0.1507 | cql 1.7396 | q 0.4465 | target_q 0.5588 | device cuda
step 003050 | loss 1.6221 | bellman 0.0307 | cql 1.5914 | q 0.8242 | target_q 0.7967 | device cuda
step 003100 | loss 1.8192 | bellman 0.1181 | cql 1.7012 | q 0.6343 | target_q 0.7805 | device cuda
step 003150 | loss 1.7414 | bellman 0.0778 | cql 1.6636 | q 0.7231 | target_q 0.8327 | device cuda
step 003200 | loss 1.5727 | bellman 0.0492 | cql 1.5235 | q 0.7862 | target_q 0.8263 | device cuda
step 003250 | loss 1.6128 | bellman 0.1853 | cql 1.4275 | q 0.8011 | target_q 0.9084 | device cuda
step 003300 | loss 1.7190 | bellman 0.0632 | cql 1.6558 | q 0.7304 | target_q 0.7961 | device cuda
step 003350 | loss 1.6918 | bellman 0.0244 | cql 1.6673 | q 0.7293 | target_q 0.7545 | device cuda
step 003400 | loss 1.5389 | bellman 0.0648 | cql 1.4741 | q 0.9062 | target_q 0.7892 | device cuda
step 003450 | loss 1.7193 | bellman 0.0590 | cql 1.6604 | q 0.7736 | target_q 0.7894 | device cuda
step 003500 | loss 1.6534 | bellman 0.0532 | cql 1.6002 | q 0.8963 | target_q 0.8328 | device cuda
step 003550 | loss 1.5790 | bellman 0.0307 | cql 1.5483 | q 0.8429 | target_q 0.7990 | device cuda
step 003600 | loss 1.7579 | bellman 0.1058 | cql 1.6521 | q 0.7068 | target_q 0.7916 | device cuda
step 003650 | loss 1.5524 | bellman 0.0649 | cql 1.4876 | q 0.7758 | target_q 0.7940 | device cuda
step 003700 | loss 1.7455 | bellman 0.0657 | cql 1.6798 | q 0.7628 | target_q 0.7890 | device cuda
step 003750 | loss 1.6884 | bellman 0.0395 | cql 1.6490 | q 0.7295 | target_q 0.7021 | device cuda
step 003800 | loss 1.8162 | bellman 0.0801 | cql 1.7362 | q 0.6965 | target_q 0.7520 | device cuda
step 003850 | loss 1.7556 | bellman 0.1102 | cql 1.6455 | q 0.7020 | target_q 0.8242 | device cuda
step 003900 | loss 1.7081 | bellman 0.0795 | cql 1.6286 | q 0.8018 | target_q 0.7870 | device cuda
step 003950 | loss 1.4829 | bellman 0.0555 | cql 1.4274 | q 0.8921 | target_q 0.8389 | device cuda
step 004000 | loss 1.7494 | bellman 0.0552 | cql 1.6943 | q 0.8319 | target_q 0.7752 | device cuda
step 004050 | loss 1.7779 | bellman 0.0850 | cql 1.6929 | q 0.9514 | target_q 1.0362 | device cuda
step 004100 | loss 1.7321 | bellman 0.0657 | cql 1.6664 | q 0.9151 | target_q 0.9765 | device cuda
step 004150 | loss 2.0259 | bellman 0.1895 | cql 1.8364 | q 0.8362 | target_q 1.0738 | device cuda
step 004200 | loss 1.8590 | bellman 0.0682 | cql 1.7907 | q 0.9649 | target_q 1.0465 | device cuda
step 004250 | loss 1.6995 | bellman 0.0490 | cql 1.6505 | q 1.0068 | target_q 0.9742 | device cuda
step 004300 | loss 1.6757 | bellman 0.0302 | cql 1.6455 | q 0.9815 | target_q 0.9868 | device cuda
step 004350 | loss 1.6226 | bellman 0.0508 | cql 1.5718 | q 1.0528 | target_q 1.0479 | device cuda
step 004400 | loss 1.7568 | bellman 0.0779 | cql 1.6790 | q 0.9862 | target_q 1.0107 | device cuda
step 004450 | loss 1.9732 | bellman 0.1627 | cql 1.8105 | q 0.8278 | target_q 1.0489 | device cuda
step 004500 | loss 1.8132 | bellman 0.0423 | cql 1.7709 | q 0.9375 | target_q 0.9743 | device cuda
step 004550 | loss 1.7419 | bellman 0.0447 | cql 1.6972 | q 1.0020 | target_q 0.9985 | device cuda
step 004600 | loss 1.8861 | bellman 0.3057 | cql 1.5804 | q 0.7315 | target_q 1.1379 | device cuda
step 004650 | loss 1.5905 | bellman 0.0633 | cql 1.5273 | q 0.9122 | target_q 1.0084 | device cuda
step 004700 | loss 1.7733 | bellman 0.1615 | cql 1.6118 | q 0.8169 | target_q 0.9392 | device cuda
step 004750 | loss 1.8759 | bellman 0.1499 | cql 1.7261 | q 0.8345 | target_q 0.9825 | device cuda
step 004800 | loss 1.5454 | bellman 0.0364 | cql 1.5090 | q 1.0627 | target_q 1.0435 | device cuda
step 004850 | loss 1.7689 | bellman 0.0532 | cql 1.7157 | q 0.9245 | target_q 0.9951 | device cuda
step 004900 | loss 1.6322 | bellman 0.0524 | cql 1.5797 | q 1.0254 | target_q 0.9694 | device cuda
step 004950 | loss 1.7152 | bellman 0.1158 | cql 1.5994 | q 0.9310 | target_q 1.0530 | device cuda
step 005000 | loss 1.7356 | bellman 0.0740 | cql 1.6616 | q 0.9462 | target_q 0.9596 | device cuda
step 005050 | loss 1.7880 | bellman 0.0424 | cql 1.7456 | q 1.1716 | target_q 1.1773 | device cuda
step 005100 | loss 1.6901 | bellman 0.0707 | cql 1.6195 | q 1.2966 | target_q 1.2839 | device cuda
step 005150 | loss 1.5305 | bellman 0.0509 | cql 1.4796 | q 1.2351 | target_q 1.2034 | device cuda
step 005200 | loss 1.8213 | bellman 0.0271 | cql 1.7942 | q 1.1979 | target_q 1.2217 | device cuda
step 005250 | loss 1.6708 | bellman 0.1539 | cql 1.5169 | q 1.2565 | target_q 1.3925 | device cuda
step 005300 | loss 1.7955 | bellman 0.1296 | cql 1.6660 | q 1.1067 | target_q 1.2597 | device cuda
step 005350 | loss 1.7378 | bellman 0.0786 | cql 1.6592 | q 1.1654 | target_q 1.3048 | device cuda
step 005400 | loss 1.7446 | bellman 0.0301 | cql 1.7146 | q 1.2844 | target_q 1.2202 | device cuda
step 005450 | loss 1.6664 | bellman 0.0454 | cql 1.6210 | q 1.2342 | target_q 1.2585 | device cuda
step 005500 | loss 1.7474 | bellman 0.0785 | cql 1.6688 | q 1.1130 | target_q 1.2031 | device cuda
step 005550 | loss 2.0461 | bellman 0.2167 | cql 1.8294 | q 0.9959 | target_q 1.1971 | device cuda
step 005600 | loss 1.6017 | bellman 0.0515 | cql 1.5502 | q 1.2717 | target_q 1.1768 | device cuda
step 005650 | loss 1.6011 | bellman 0.0956 | cql 1.5055 | q 1.1834 | target_q 1.2189 | device cuda
step 005700 | loss 1.7964 | bellman 0.0866 | cql 1.7099 | q 1.2338 | target_q 1.3062 | device cuda
step 005750 | loss 1.5580 | bellman 0.0442 | cql 1.5137 | q 1.3033 | target_q 1.1945 | device cuda
step 005800 | loss 2.0544 | bellman 0.2578 | cql 1.7967 | q 1.0539 | target_q 1.3473 | device cuda
step 005850 | loss 1.6848 | bellman 0.0484 | cql 1.6364 | q 1.2564 | target_q 1.1895 | device cuda
step 005900 | loss 1.5422 | bellman 0.0499 | cql 1.4923 | q 1.3240 | target_q 1.3124 | device cuda
step 005950 | loss 1.6935 | bellman 0.1045 | cql 1.5890 | q 1.1628 | target_q 1.2079 | device cuda
step 006000 | loss 1.4807 | bellman 0.0553 | cql 1.4255 | q 1.2530 | target_q 1.2463 | device cuda
